"ID","Type","Name","Documentation","Specialization"
"id-0cedc438075c49f1ae5cdb4771d5e40b","BusinessProcess","Data Processing","Encompasses actions taken to refine and analyze raw or acquired data by researchers, using tools and programs, to yield processed data ready for observations and conclusions.",""
"id-8af1049318c844208418f585711460bd","BusinessProcess","Data Production","Focuses on the creation, collection, or acquisition of raw research data, either generated internally or sourced externally, through experimental or computational methods.",""
"id-abe24cf55eb84fad89a42d741c539391","BusinessProcess","Data Publication","Covers the external dissemination of both raw and processed research data, ensuring access for the wider community while adhering to policies on public sharing, use, and reuse.",""
"id-3b37e6acf19b486e8a82a3249f878231","BusinessProcess","Data Quality Monitoring","The process of ensuring that data meets defined standards of accuracy, consistency, and reliability, critical for effective decision-making and analysis.",""
"id-6a9889a99f0a465a951db3a4dabb04cb","BusinessProcess","FAIR Data Lifecycle","The process that encompasses all phases of research data management, from planning, collection, processing, preservation, to sharing and reuse adhering to FAIR and CARE principles.",""
"id-bf08418d3e0c41049222f8801215d7a5","BusinessProcess","FAIR Infrastructure Governance","The structured process of managing and regulating the infrastructure required for ensuring that data adheres to FAIR principles.",""
"id-951cb0a56d5e470aa0a036e260976291","BusinessProcess","Preserve, Discard, Reuse","Defines the processes for long-term data management, including archival or disposal of research data, ensuring compliance with records management practices and safe data handling at the end of its lifecycle.",""
"id-ee1741e5c1b740b6bedd87d79afdad59","BusinessProcess","Project Proposal","Establishes the strategic direction and decisions for an organization’s research data program, integrating it with broader data governance strategies to align with organizational goals.",""
"id-7397d468624c4601a4c78b20be01f5b0","BusinessProcess","Reference & Master Data Management","The process of managing key data entities (reference and master data) that are critical for the operation of the research infrastructure. This process includes definition of common terminologies, taxonomies and codelists using standards and best practices from the research domain.",""
"id-613bbde66b2f4411b1bc940727efe26e","BusinessProcess","Research Data Infrastructure","",""
"id-ae0c3301ad50478cbc4da11843a62f35","BusinessService","Research Data Infrastructure","",""
"id-70c768b3ec8340d6b8bc23bc19cd493d","ApplicationComponent","Data Cleaning Component","A system or software component responsible for the cleaning and preprocessing of raw data before it is used for analysis or further processing.",""
"id-87e5e576bda3450982d5d95f0a06c017","ApplicationComponent","Data Harmonization Component","A software system or module designed to ensure that data from different sources conforms to a common format or structure, enabling interoperability and consistency.",""
"id-91e9a71c2a0649029e94e0f3a01941f3","ApplicationComponent","Data Ingestion Component","A system or tool responsible for collecting and integrating data from various sources into a central repository for analysis or further processing.",""
"id-9c9d73d6b03e44bb81c563faeddd067f","ApplicationComponent","Data Processing Component","A system or tool that applies transformations, aggregations, and calculations to raw data, preparing it for analysis or reporting.",""
"id-5cb30378e23b49e8850b5291051093e2","ApplicationComponent","Fair Publication Component","A system or tool that manages the process of publishing data in a manner that conforms to FAIR principles, ensuring that data is Findable, Accessible, Interoperable, and Reusable.",""
"id-dc779c8d0f3b4cb19843e84da720ce8e","ApplicationComponent","FAIR Validation Component","A tool or system that checks whether data adheres to FAIR principles, ensuring compliance and quality of data publication.",""
"id-9f381b4cbe7b42019d1c47047e84ce43","ApplicationComponent","Ingestion Pipeline Component","A module or system responsible for managing the sequence of steps involved in the collection and integration of data from various sources into a central system.",""
"id-0ab8bb7bb4104a7bbb7f1d04f8b1f5be","ApplicationProcess","Access control","The process of managing how the raw data sources are accessed",""
"id-34a21f7e09834ba189d1d7227580c5dc","ApplicationProcess","Cleaning","The process of detecting and correcting (or removing) corrupt or inaccurate records from a dataset, improving data quality.",""
"id-a603e6ad55a8440c809ea1e967a8f13b","ApplicationProcess","Collection","The process of gathering and storing data from different sources for further analysis or processing.",""
"id-c9a11b59f8cc49ae8fc793204a04aece","ApplicationProcess","Data Harmonization Pipeline","A structured process that ensures data is cleaned, harmonized and transformed into more usable format for ease of use across different systems or databases.",""
"id-1d1d9b177a844032b47ac8dc1f23004b","ApplicationProcess","Data preservation","The process of maintaining and safeguarding data to ensure its long-term accessibility and usability.",""
"id-60c63384392e4b34b32e80255882dff9","ApplicationProcess","Data Processing Pipeline","A sequence of operations to collect, process and transform data into a well-defined format ensuring fit-for-purpose quality, often through a combination of software applications and processes.",""
"id-36d14e362ca94cb08ce2d07fabe0c03f","ApplicationProcess","Deduplication","The process of identifying and removing duplicate records from a dataset to ensure uniqueness and data quality.",""
"id-6154fc708d304c598d2ffa53a05c04b8","ApplicationProcess","Fair Publication Pipeline","The structured workflow for publishing data in a manner that adheres to FAIR principles (Findable, Accessible, Interoperable, and Reusable).",""
"id-1673fa01d20040009a20d9985bd883cc","ApplicationProcess","FAIR validation","The process of verifying whether data adheres to FAIR principles, ensuring it is findable, accessible, interoperable, and reusable.",""
"id-915dd4979db44944a2bc0efcb46ee84e","ApplicationProcess","Ingestion frequency","The rate at which new data is collected and integrated into a system or database for further processing.",""
"id-a34b7352238e433ebfd7d141d2ed3e35","ApplicationProcess","Ingestion Pipeline","A sequence of steps that facilitate the input and integration of data into a system for cleaning, processing and further analysis.",""
"id-22ac88841a6e4ca58af3784d9a9efefe","ApplicationProcess","Interoperable metadata","Metadata that is structured in a way that allows it to be used and understood across different systems, promoting data sharing and reuse.",""
"id-4a9a49b10a9a4d60ad1e12891c4ea13b","ApplicationProcess","Persistent identifiers","Unique and persistent identifiers assigned to data or digital objects to ensure their long-term accessibility and referenceability, such as URN, DOI and ORCID",""
"id-ecbfdc07595e440ea14e7a22e8a5fd2e","ApplicationProcess","Processing","The sequence of actions applied to data to analyze, enrich and convert the data to support the intended use case",""
"id-9aa10889239c4757902fcca68e6d9a89","ApplicationProcess","Synthesizing","The process of combining different data sources to generate new insights or data products.",""
"id-2d1ad67f7a0d4a51b1f57ce02f6442ff","ApplicationProcess","Transformation","The process of converting data from one format, structure, or model to another for compatibility or analysis purposes.",""
"id-bc6a67bc055f4598be6300ce51b18d64","ApplicationProcess","Validation","The process of checking the accuracy and integrity of data to ensure it meets the required standards and specifications.",""
"id-1ccb6f7ae3cb4cafa25379d91aa9ee34","ApplicationProcess","Verification","The process of confirming that data or processes meet defined requirements and specifications, typically in quality assurance.",""
"id-f3b8a8e02e3e4d259845b678c399fa27","ApplicationProcess","Workflow Management","The process of organizing and optimizing the flow of tasks and information in a data processing pipeline or system.",""
"id-146e93c311164f37b9770f4f656ce6ed","ApplicationService","Clean Data Source","A source of data that has been cleaned to remove errors, inconsistencies, and redundancies, ensuring higher quality.",""
"id-563b2110ee0141a193d1bb867a2d029e","ApplicationService","Fair Data Source","A data source that adheres to the FAIR principles (Findable, Accessible, Interoperable, and Reusable), ensuring data quality and compliance with FAIR standards.",""
"id-10ca9fa9cd6e4b1abc7f0fdb40d07e80","ApplicationService","Ingested Data Source","A data source that has been collected and integrated into a system for analysis or further processing.",""
"id-aa513e51053545c0b75876b8acc50b2b","ApplicationService","Raw Data Source","A source of unprocessed or untransformed data, typically collected directly from the origin systems or devices.",""
"id-d0911f734bb64711b84df76baad8b070","ApplicationService","Smart Data Source","A data source that has been enriched with additional context, metadata and documentation to enable efficient data reuse and more advanced analysis or decision-making. This is typically domain spesific or fit-for-purpose enterpise level data that is well documented and ready to be used within a bounded context using the documentation and tools provided with the data.",""
"id-75da87ec51004d0c8ff803991521ba5a","DataObject","Cleaned Data","Data that has undergone a cleaning process to remove errors, inconsistencies, and duplicate entries, ensuring higher quality and usability.",""
"id-2af4bb4d64fd4f41a647f5fe91530374","DataObject","Data Graph","A structured representation of data in a graph format, showing relationships between entities, typically used in graph databases or semantic web applications.",""
"id-9317da0b32054394b0680f2c418ebedc","DataObject","Data Product","A product or output that is generated from processing or analyzing raw data, designed to provide insights, services, or solutions.",""
"id-c9d36edb264f49e385b3c8e552b63736","DataObject","Data Streams","Continuous flows of data generated by various sources, often in real-time, used for monitoring, analysis, and decision-making.",""
"id-42f04fc92848404ba2f3e3c851eec223","DataObject","Digital Twin","A digital replica of a physical entity, process, or system used for simulation, analysis, and monitoring.",""
"id-ae6d47fdffbc4e95afc0f83b15b94244","DataObject","Dumb Data","Data that lacks context, structure, or meaningful metadata, making it difficult to use or interpret effectively.",""
"id-1476dd75986748bab22c6afdee244c25","DataObject","Dumb Data Lake","A storage repository that holds a vast amount of raw data in its native format, typically without any preprocessing or structuring.",""
"id-85352c8f06cd4a9eb77f53b28aa6bb5d","DataObject","FAIR Data","Data that is Findable, Accessible, Interoperable, and Reusable, adhering to the FAIR principles.",""
"id-c939c8998d2c4b538a3bfad7feadb7ba","DataObject","Fair Data Workflow","A set of processes and procedures designed to handle data in a manner that adheres to FAIR principles.",""
"id-f32b97627eb445d08c375dd18905fc96","DataObject","Fair Digital Object","A FAIR digital object is a unit composed of data that is a sequence of bits, or a set of sequences of bits, each of the sequences being structured (typed) in a way that is interpretable by one or more computer systems, and having as essential elements an assigned globally uniqueandpersistent identifier (PID), a type definition for the object as a whole and a metadata description (which itself can be another FAIR digital object) of the properties of the object, making the whole findable, accessible, interoperable and reusable both by humans and computers for the reliable interpretation and processing of the data represented by the object (TSIG FDO WG).",""
"id-8614077189064d3288d7ad1c16638a44","DataObject","Fair Research Dataset","A research dataset that complies with FAIR principles, making it easily discoverable and usable by others.",""
"id-026049dfa8ad4d648c98a3ddeb62f8b2","DataObject","Harmonized Data","Data that has been standardized and integrated from multiple sources to ensure consistency and compatibility across datasets.",""
"id-4e1b7de8be1b4931a6d8e8ef74b31a80","DataObject","Ingested Data","Data that has been collected and integrated into a system for further processing or analysis.",""
"id-53926347263c49e2871029dc426b9616","DataObject","Master Data","Critical business data that is essential for operations, often shared across multiple systems and processes within an organization.",""
"id-db86e452bf434779b1a1d4605322cbe3","DataObject","Querable Data Stream","A data stream that can be queried or accessed in real-time for analysis or monitoring purposes.",""
"id-09ef67576bec497e902077429930704b","DataObject","Querable Structured Data","Structured data that can be easily queried, analyzed, and used in various applications and systems.",""
"id-78aeb37f109f4d56ab0bc005fda96738","DataObject","Raw Data","Unprocessed data that has been collected directly from the source without any transformation, cleaning, or aggregation.",""
"id-3e14fb1e68b94269bfb315aff73ff352","DataObject","Smart Data","Data that has been enriched with additional context or metadata to enhance its value and facilitate advanced analysis or decision-making.",""
"id-4bbc3513e1b74bbea0a883ddde32332b","DataObject","Structured Data Dump","A collection of structured data exported from a system or database, typically used for backup, analysis, or migration purposes.",""
"id-b6008759853f4aaea90ffae132502475","Equipment","Hardware","Physical components of a computer system or data infrastructure, including servers, storage devices, and networking equipment.",""
"id-5278d336af93492ca7f30b19e1f6b16c","Material","Material","",""
"id-7153e8650e444bc0904025a9bcd52d10","TechnologyService","","",""
"id-da9411f83cb741f687c78ccfd4698e48","TechnologyService","Access Management","Services and tools that manage user access to systems and data, ensuring proper authentication and authorization. Access can be managed on service, API or dataset level using Resource Entitlement Management Systems.",""
"id-273555cd3fd54f03b1e41868aaf8038b","TechnologyService","Analytics","Data storage that integrates data from multiple sources, optimized for reporting and analysis.",""
"id-6ca25261b2dd434e8a4cd9d5985434de","TechnologyService","APIs","Application Programming Interfaces that allow different software applications to communicate and interact with each other, enabling integration and functionality sharing.",""
"id-26bd7641ac8f457ebb69da38091bc24f","TechnologyService","Application Interface","The point of interaction between different software applications, enabling them to communicate and exchange data.",""
"id-d2f13b5c3f714d2e8e4f6ca404500900","TechnologyService","Code Repository","A storage location for software code, enabling version control, collaboration, and management of codebases.",""
"id-44f6124149b248e7ae79c676915b6532","TechnologyService","Collaborative Wiki","A web-based platform that allows multiple users to create, edit, and share content collaboratively in real-time.",""
"id-026c5eb4690d449ba672256fdf74fa48","TechnologyService","Columnar","Database where data is stored in columns instead of rows to optimize certain types of queries, analytic workflows and data manipulation operations.",""
"id-7537961dc41145acaf2cd61891a86902","TechnologyService","Data Governance Systems","Software systems designed to manage, monitor, and enforce data governance policies and practices within an organization.",""
"id-06cc1567f13a4f60a1c4c0678b17646e","TechnologyService","Data ingestion","The process of importing, transferring, loading, and processing data for later use or storage in a database or data warehouse.",""
"id-6b4c996982fd471c877ec90e82e9f606","TechnologyService","Data Lineage Systems","The documentation of the origin, lineage, and history of data, ensuring its authenticity and traceability throughout its lifecycle.",""
"id-d8882c4175d34e89b7bd05fc7df9a361","TechnologyService","Data mining","The practice of examining large datasets to discover patterns, trends, and insights that can inform decision-making.",""
"id-f83bb093044945e69fe4c00f6118793b","TechnologyService","Data Processing Platform","A software platform that provides tools and infrastructure for processing, analyzing, and managing large volumes of data.",""
"id-e2e3bd37f1c94f92a24a96364ba0e3bb","TechnologyService","Data Storage","Systems and formats used to store data, including different types of databases, data warehouses, data lakes, cloud storage solutions and transaction formats. The list is endless and the high level categorization is mainly used to exemplify that there are different types of data storage and transaction formats to suit different needs.",""
"id-c9b2fc69fa8c4c4d99e0fc9fee965da0","TechnologyService","Data Workflow Repository","A system that stores and manages workflows related to data processing, ensuring efficient and repeatable data operations.",""
"id-8156810c5e814634b46ec03675cd81de","TechnologyService","Database","An organized collection of structured information or data, typically stored electronically in a computer system.",""
"id-2a5794037724434191ae58b95b64c332","TechnologyService","Devices","Hardware tools and equipment used for data collection, processing, and storage, such as sensors, computers, and mobile devices.",""
"id-3bd2c7355e9c4cb99280434118f802c0","TechnologyService","Dimensional","Relational database that uses a dimensional data model to organize data. This model uses fact tables and dimension tables using different schema models such as star model, snowflake, galaxy or data cube schema. A dimensional database is the optimal type of database for data warehousing.",""
"id-bfc3c6e9fc554958a0c2e28e56c7198c","TechnologyService","Document","A type of database designed to store, retrieve, and manage document-oriented information, typically in formats like JSON or XML.",""
"id-431a07ea060d44a9933b3d40b525c006","TechnologyService","Documentation & Support Systems","Software tools and systems that provide documentation, help resources, and support for users managing data systems and infrastructure.",""
"id-ac94d2be5977485d8adbabbe1c3d7679","TechnologyService","Domain solutions","Specialized software or systems designed to address specific needs or challenges within a particular domain or industry.",""
"id-e105f5f43d194b8f824c3ce429d49687","TechnologyService","Event streaming","The continuous flow of data generated by events, typically processed in real-time for immediate analysis and response.",""
"id-ba17b004421f4993859e4ae90547408f","TechnologyService","FAIR publication system","A system designed to publish data in accordance with FAIR principles, ensuring data is findable, accessible, interoperable, and reusable.",""
"id-84bc574b7dd54a0aa15da7f3c796ee50","TechnologyService","Fairdata platform","FAIR data infrastucture designed to manage, store, and provide access to FAIR data, ensuring compliance with FAIR principles.",""
"id-f875106b325d481e8f2fb43858f991fb","TechnologyService","Filesystem","A method and data structure that an operating system uses to control how data is stored and retrieved on storage devices.",""
"id-109f53b9df184ca49019553bc74fb1ab","TechnologyService","Graph","A type of database that uses graph structures with nodes, edges, and properties to store and represent data, enabling data integration and efficient querying of relationships. Different types of graph databases like RDF, propery graph and in-memory graph databases offer diverse functionalities suitable for specialized applications to support different use cases that use high variety, interconnected and dynamic data from multiple sources.",""
"id-630f794aff154986884ee9773ef1aa6c","TechnologyService","Identity Management","Services and systems that manage user identities and control access to resources based on authenticated identities.",""
"id-74b0e46454e54b46a1fd98fca10c93bf","TechnologyService","Issues & Feedback","Systems and processes that collect, manage, and respond to user-reported issues and feedback regarding data systems and services.",""
"id-ff996410103a4200bfaadc60a4f14fe2","TechnologyService","Key value","A type of NoSQL database that stores data as a collection of key-value pairs, allowing for simple and fast data retrieval based on unique keys.",""
"id-a8907ec881b641849675fd0a55d49b03","TechnologyService","Learning Portal","An online platform that provides educational resources, training materials, and learning modules for users and stakeholders.",""
"id-91388971548f455bb3dd9e191c5e3248","TechnologyService","Ledger","Immutable record-keeping system that is permanent and immune to data corruption and provides strong gaurantees about the lineage of data. Ledgers can be both centralized or decentralized.",""
"id-1ac42d9c263e413788497e7b843dae57","TechnologyService","Machine Actionable Interface","Interfaces that allow machines to interpret and act upon data or commands without human intervention, facilitating automation and integration.",""
"id-a189329081114f9bac28324b35626448","TechnologyService","Machine learning","A subset of artificial intelligence that involves the development of algorithms that can learn from and make predictions or decisions based on data.",""
"id-d813c9bd8df249a6890e6398678933a9","TechnologyService","Metadata Crosswalks","Tools or processes that map metadata elements from one schema or standard to another, enabling interoperability and data integration across different systems.",""
"id-0252e12979eb4c4abd733a4057f995c1","TechnologyService","Metadata Management Systems","Systems that manage metadata, ensuring it is properly collected, stored, and accessible for data governance and usage.",""
"id-fb72334b1cbb4f26a4346f83cf9e871c","TechnologyService","Model & Schema Repositories","Structured representations of data that define the organization, relationships, and constraints of data elements within a system or application.
",""
"id-9c47bf671eb84440969d6330e957fa50","TechnologyService","Notebooks","",""
"id-f6827c8b7a4c470b9fb420f877f0e676","TechnologyService","Object ","A storage architecture that manages data as objects, each containing the data itself, metadata, and a unique identifier, suitable for large-scale unstructured data.",""
"id-ca8ec5464dbb408d897ca621c79c40b0","TechnologyService","Ontology & Linked Data Platforms","Formal representations of knowledge (Classes, properties and instances) as a set of concepts and the relationships between them, used to model domain knowledge and integrating data from multiple sources to semantically interoperable data model.",""
"id-11de28e3ed4b4742af8d381b0e7072c1","TechnologyService","Operational","Data storage systems designed to update data in real-time",""
"id-74d6f68c268441b4bd8bd57ee7943398","TechnologyService","PID Management","Process and systems for managing Persistent Identifiers (PIDs) to ensure unique, long-lasting references to digital objects or data.",""
"id-66e62ac5640b4a83ac4960407b554ca9","TechnologyService","PID Resolver","A system or service that resolves Persistent Identifiers (PIDs) to their corresponding digital objects or data locations.",""
"id-c736dc90f3c24ab793c16148170cbd26","TechnologyService","Preservation system","Systems and processes designed to maintain and protect digital data over time, ensuring its accessibility and integrity for future use.",""
"id-4dcab330d90a43b9a4c6efa61be0a2ae","TechnologyService","Process engine","Software that manages and executes business processes, often using defined workflows to coordinate tasks and data flows.",""
"id-50bb9b179745438899a2b450e22f0719","TechnologyService","Property graph","",""
"id-bced1fc6c68f469d8351db970a20b630","TechnologyService","Provenance Systems","Systems that track the origins, movement, and transformations of data. These include data lineage systems as well as the provenance of code and the deployment and usage of the systems used to manage the data.",""
"id-676be3a1c4f146eb8e33e1ba9ce65bf0","TechnologyService","Publication system","Systems that manage the dissemination and distribution of data, content, or research outputs to end-users or the public.",""
"id-bdf72d39edc244b480d567d93a17064c","TechnologyService","Publishing platform","Software systems that facilitate the publishing and distribution of data, content, or services to end-users.",""
"id-fe96eda9bc5745988305daa07a6d1517","TechnologyService","Quality assurance","Processes and systems designed to ensure that data and data-related processes meet defined quality standards and requirements.",""
"id-c20755df98804d7781acbc2950360252","TechnologyService","Reference Data & Taxonomies","Standardized sets of data and classification systems that provide a consistent framework for data categorization and analysis across different systems.",""
"id-f203efbf44b14db8bde80c93a9e16978","TechnologyService","Relational","",""
"id-64e4b2689bd1458e94dbd4d2a1a6cc4d","TechnologyService","Research notebooks","Interactive notebooks, digital tools or platforms designed to support and enhance scientific research, experimentation, and analysis. They function as a dynamic environment where researchers can record, execute, and visualize code, document processes, and share results in an integrated and collaborative manner.",""
"id-276dca076d374fda9983ba8916287c58","TechnologyService","Scientific computing","The use of advanced computing capabilities such as parallel processing or quantum computing to understand and solve complex scientific problems through simulations, modeling, and data analysis.",""
"id-7f21e8694d9447789c7d9f1691e35d43","TechnologyService","Semantic Artefact Repositories","Semantic artifact repositories enable both humans and machines to access, understand, and use this structured knowledge. Semantic artifacts are formal, machine readable and actionable representations of knowledge, used to capture and structure information in a domain. Examples include ontologies, terminologies, taxonomies, thesauri, vocabularies, metadata schemas, data models and data mappings.",""
"id-6e6c4eee0d5240dca093c76fa3d59a89","TechnologyService","Sensors","Devices that detect and measure physical properties, converting them into data that can be analyzed and used for monitoring and decision-making.",""
"id-fab0766e05ff4f0ca57e8e5c91713780","TechnologyService","Source systems","Original systems where data is created or initially stored, serving as the primary data sources for data integration and processing.",""
"id-402eceeac86c4876b7ba8514edd130dd","TechnologyService","Spatiotemporal","Designed to efficiently store, query, and process spatial and temporal data, such as observations, time series, geoinformation, historical locations and events etc.",""
"id-4839c070d92d432297e0d162b4a7ab39","TechnologyService","Specialized","Data storage system designed and optimized for different use cases. This type of data storages can also be hybrid, multimodal and used both in operational or analytic use cases.",""
"id-dfc4619d1573425b872404e1efc8b1b8","TechnologyService","Staging System","A system used to temporarily store data before it is processed and moved to a final destination, often used as a first step in data cleaning, data warehousing and integration platforms.",""
"id-0666b6535dd04bd19a3368762023fd31","TechnologyService","Technology Service","",""
"id-357761f8210741f38cba78a5678f37fe","TechnologyService","Technology Service","",""
"id-308d225dd69d4b2e898b3a2ba28472bb","TechnologyService","Validation Tools","Data quality management tools that monitor and validate metadata to identify discrepancies, missing fields, or inconsistencies.",""
"id-0c03d93902ee4304aa394170cecb0682","TechnologyService","Vector","Data structures used to store and manipulate mathematical vectors, often used in machine learning and data analysis applications.",""
"id-e361c38b14034cb4a03d7378864bf6be","TechnologyService","Virtual Research Environment","A specialized data processing platform that provides researchers with tools, resources, and collaborative spaces to conduct and manage research activities.",""
"id-e8fcd9b24c0444309a13a54eace66d26","TechnologyService","Visualisation platforms","Tools or systems designed to create, manage, and interact with visual representations of data. These platforms facilitate the transformation of complex datasets into graphical or visual forms such as charts, graphs, maps, dashboards, and interactive visuals. The goal of these platforms is to make data more understandable, accessible, and actionable, allowing users to explore, analyze, and communicate insights effectively.",""
